id,allergen,name,language,source,category
,nüsse,Mandeln natürlich,de,USDA,
,milch,Cheddar-Clubkäse,de,USDA,
,milch,importierter Pecorino Romano-Käse,de,USDA,
,sellerie,Gemüsebrühe,de,USDA,
,milch,Romano-Käse,de,USDA,
,nüsse,Rohe Bio-Mandelbutter,de,USDA,
,gluten,Bagel,de,USDA,
,soja,Bagel,de,USDA,
,soja,Sojalecithin,de,USDA,
,milch,pasteurisierter Prozess-Cheddar-Käse,de,USDA,
,nüsse,Walnussöl,de,USDA,
,milch,Weiße Schokoladen-Marshmallow-Stückchen,de,USDA,
,soja,Weiße Schokoladen-Marshmallow-Stückchen,de,USDA,
,milch,Cheddar-Käse,de,USDA,
,milch,und Asiago-Käse,de,USDA,
,milch,Knoblauch-Parmesan-Butter,de,USDA,
,gluten,Hartweizengrieß,de,USDA,
,milch,Parmesankäse,de,USDA,
,soja,fermentierte Sojabohnen,de,USDA,
,soja,Halbsüße Schokoladentropfen,de,USDA,
,sesam,Bio-Tahini,de,USDA,
,milch,Romano-Käse  und/oder Parmesankäse,de,USDA,
,sulfite,Natriummetabisulfit,de,USDA,
,soja,Soja- und Palmöl,de,USDA,
,milch,Milchmineralien,de,USDA,
,soja,Pflanzenöl,de,USDA,
,milch,schwere Sahnecreme,de,USDA,
,gluten,Bistrobrötchen,de,USDA,
,milch,Milchcreme-Rohrzucker-Schokoladenstückchen,de,USDA,
,soja,Milchcreme-Rohrzucker-Schokoladenstückchen,de,USDA,
,fisch,Alaska Snow Crab Legs Surimi,de,USDA,
,sulfite,Balsamico-Essig,de,USDA,
,milch,Magermilch und Pektin,de,USDA,
,milch,Nachahmung von Monterey-Jack-Käse,de,USDA,
,gluten,Bio-Weizen,de,USDA,
,gluten,Alles Bagel,de,USDA,
,sesam,Alles Bagel,de,USDA,
,milch,Milch und Sahne in Bio-Qualität,de,USDA,
,milch,kultivierte pasteurisierte Ziegenmilch,de,USDA,
,soja,texturiertes pflanzliches Protein,de,USDA,
,gluten,texturiertes pflanzliches Protein,de,USDA,
,gluten,gebleichtes, angereichertes Mehl ",de,USDA
,milch,Zartbitterer Schokoladentropfen,de,USDA,
,soja,Zartbitterer Schokoladentropfen,de,USDA,
,milch,Kokoseis: Magermilch,de,USDA,
,ei,Eier geschält,de,USDA,
,senf,Dijon-Senf,de,USDA,
,soja,Sojaöl,de,USDA,
,milch,Frischkäse,de,USDA,
,milch,Magermilchkäse,de,USDA,
,gluten,Vollkornmehl,de,USDA,
,milch,Feta-Käse,de,USDA,
,soja,weiße Misopaste1,de,USDA,
,milch,Asadero-Käse mit reduziertem Fettgehalt,de,USDA,
,milch,Monterey-Jack-Käse,de,USDA,
,milch,Edamerkäse,de,USDA,
,milch,Erdbeereis,de,USDA,
,ei,Erdbeereis,de,USDA,
,senf,Senf,de,USDA,
,soja,Isoliertes Sojaprodukt,de,USDA,
,soja,Mayonnaise,de,USDA,
,ei,Mayonnaise,de,USDA,
,milch,Käse,de,USDA,
,soja,Margarine,de,USDA,
,senf,Bio-gemahlene gelbe Senfkörner,de,USDA,
,milch,Pecorino Romano-Käse,de,USDA,
,senf,Senf,de,USDA,
,sesam,In Honig geröstete Sesamchips,de,USDA,
,milch,weißer natürlicher Cheddar-Käsebruch,de,USDA,
,soja,teilweise hydriertes Soja-/Baumwollsamenöl,de,USDA,
,ei,Eiklar,de,USDA,
,senf,Senf,de,USDA,
,gluten,Semmelbrösel,de,USDA,
,soja,Margarine,de,USDA,
,soja,strukturiertes pflanzliches Protein {Sojamehl,de,USDA,
,soja,Pflanzenöl,de,USDA,
,milch,pasteurisierter Prozess-Cheddar-Käse,de,USDA,
,milch,Weißer Bio-Cheddar-Käse,de,USDA,
,milch,teilentrahmter Mozzarellakäse mit niedrigem Feuchtigkeitsgehalt,de,USDA,
,senf,Senf,de,USDA,
,gluten,Malzessig,de,USDA,
,milch,Bio-Mozzarella-Käse mit niedrigem Feuchtigkeitsgehalt,de,USDA,
,milch,Butteröl,de,USDA,
,milch,Molke,de,USDA,
,milch,Klasse a kultivierte Milch und Sahne,de,USDA,
,milch,Joghurtkulturen,de,USDA,
,sesam,Sesambutter,de,USDA,
,milch,Milchschokolade,de,USDA,
,soja,Milchschokolade,de,USDA,
,gluten,Weizenmehl, Sojaöl",de,USDA
,soja,Weizenmehl, Sojaöl",de,USDA
,milch,Hähnchenbrust mit Rippenfleisch,de,USDA,
,milch,Vollkuhmilch,de,USDA,
,milch,Milchschokolade,de,USDA,
,soja,Halbsüße Schokoladenstückchen,de,USDA,
,milch,fettreduzierte, gesüßte Kondensmilch ",de,USDA
,soja,echte Mayonnaise,de,USDA,
,ei,echte Mayonnaise,de,USDA,
,soja,Gekochte Hähnchenbruststreifen mit Rippenfleisch,de,USDA,
,milch,Pecorino Romano,de,USDA,
,ei,Bio-Eier aus Freilandhaltung,de,USDA,
,nüsse,Mandeln,de,USDA,
,soja,Schokoladenpopcorn,de,USDA,
,milch,Schokoladenpopcorn,de,USDA,
,milch,Ghee,de,USDA,
,milch,Margarine,de,USDA,
,soja,Margarine,de,USDA,
,erdnuss,Fudge Swirl,de,USDA,
,milch,Fudge Swirl,de,USDA,
,soja,Fudge Swirl,de,USDA,
,milch,geriebener Käse,de,USDA,
,soja,dunkle Schokolade,de,USDA,
,soja,Margarine,de,USDA,
,ei,Enzymmodifiziertes Eigelb,de,USDA,
,sesam,Zitronenhummus,de,USDA,
,milch,2 % oder weniger von: Buttermilch,de,USDA,
,ei,Eiersalat,de,USDA,
,soja,Eiersalat,de,USDA,
,milch,natürlicher Fontina-Käse: pasteurisierte, teilweise entrahmte Milch",de,USDA
,sesam,Trocken geröstete, geschälte Bio-Sesamkörner",de,USDA
,nüsse,Bio-Cashewbutter,de,USDA,
,nüsse,Mandeln,de,USDA,
,milch,Blauschimmelkäse,de,USDA,
,nüsse,Wasser, Pekannüsse, modifizierte Maisstärke",de
,milch,Schweizer Käse,de,USDA,
,gluten,Angereichertes Mehl,de,USDA,
,gluten,gebleichtes, angereichertes Mehl",de,USDA
,gluten,Bio-Schokoladenkekse,de,USDA,
,milch,Bio-Sauerrahm,de,USDA,
,nüsse,geröstete Pekannüsse: Pekannüsse,de,USDA,
,milch,Vollmilch,de,USDA,
,milch,lipolysierte Creme,de,USDA,
,gluten,Bio-Schalen,de,USDA,
,milch,Romano-Käse aus Kuhmilch,de,USDA,
,milch,Calciumlactat,de,USDA,
,gluten,Cracker,de,USDA,
,soja,Cracker,de,USDA,
,sulfite,Maraschinokirschen,de,USDA,
,sulfite,Schwefeldioxid,de,USDA,
,ei,Nudeln,de,USDA,
,gluten,Nudeln,de,USDA,
,erdnuss,Pepitas,de,USDA,
,soja,Pepitas,de,USDA,
,soja,pflanzliches Backfett,de,USDA,
,milch,Ghirardelli-Schokoladenstückchen, getrocknete Kirschen",de,USDA
,soja,Antioxidans,de,USDA,
,milch,Sauerrahmfeststoffe,de,USDA,
,nüsse,Mandelsa,de,USDA,
,gluten,Bio-Tortilla: Bio-Vollkornmehl,de,USDA,
,erdnuss,In Honig geröstete Pekannüsse,de,USDA,
,gluten,In Honig geröstete Pekannüsse,de,USDA,
,soja,In Honig geröstete Pekannüsse,de,USDA,
,erdnuss,Chili-Erdnüsse,de,USDA,
,milch,Cheddar und Blauschimmelkäse,de,USDA,
,milch,weiße Schokoladenstückchen,de,USDA,
,soja,weiße Schokoladenstückchen,de,USDA,
,gluten,Mit Spinatwickel angereichertes ungebleichtes Mehl,de,USDA,
,milch,pasteurisierte Bio-Vollmilch,de,USDA,
,gluten,würzige Käsecracker: angereichertes Mehl,de,USDA,
,milch,pasteurisierte Milch mit reduziertem Fettgehalt,de,USDA,
,milch,Fettfreier Joghurt,de,USDA,
,soja,Süßes Erd-Curry-Seitan,de,USDA,
,gluten,Süßes Erd-Curry-Seitan,de,USDA,
,gluten,weiches rotes Winterweizenmehl,de,USDA,
,milch,Frischkäse,de,USDA,
,fisch,Krabbenfleisch,de,USDA,
,milch,Truthahnbrühe,de,USDA,
,gluten,Alaska-Seelachsfilets, panierte Panade, angereichertes gebleichtes Weizenmehl ",de
,sesam,Sesamöl, gesalzene Chilischote",de,USDA
,nüsse,Mandeln,de,USDA,
,erdnuss,Mandeln,de,USDA,
,soja,Pflanzenöl,de,USDA,
,milch,Molke+,de,USDA,
,gluten,angereichertes gebleichtes Weizenmehl,de,USDA,
,gluten,Bio-Wan-Tan-Streifen: Bio-Weizenmehl,de,USDA,
,gluten,ungebleichtes angereichertes Mehl,de,USDA,
,soja,Bio-Sojamilch,de,USDA,
,milch,Nichtmilchsäure,de,USDA,
,nüsse,Bio geschälte Kastanien,de,USDA,
,gluten,ungebleichtes angereichertes Mehl,de,USDA,
,milch,kultivierte Magermilch und Milch,de,USDA,
,erdnuss,Fudgeband,de,USDA,
,soja,Fudgeband,de,USDA,
,milch,Süßrahm-Buttermilchmolke,de,USDA,
,milch,Parmesankäse,de,USDA,
,sulfite,getrocknete Mango,de,USDA,
,milch,Parmesankäse,de,USDA,
,soja,Emulgator,de,USDA,
,milch,Molkefeststoffe,de,USDA,
,milch,Romano-Käse,de,USDA,
,gluten,Mehrkornbrot,de,USDA,
